batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source
1,jiomart_fruvanta_fruvanta_catchupsauce_combo_200gm_x_6_pack_of_6,Fruvanta Catchup/Sauce Combo. (200gm X 6) (Pack of 6),Fruvanta,spread,sauce-ketchup-butter,200.0,g,167.0,jiomart
2,jiomart_luvit_luvit_truffles_choco_indulgence_caramel_filled_chocolate_with_1_rakhis_perfect_rakhi_gift_raks,LuvIt Truffles Choco Indulgence | Caramel Filled Chocolate with 1 Rakhis | Perfect Rakhi Gift | Raksha Bandan Gift | Pack of 1-150g Each,Luvit,chocolate,chocolate,1.0,Rakhis,199.0,jiomart
3,jiomart_agri_club_agri_club_amaranth_seed_400_gm,Agri Club Amaranth Seed 400 gm,Agri Club,essentials,wheat-soya,400.0,g,216.0,jiomart
4,jiomart_myfitness_peanut_butter_myfitness_peanut_butter_chocolate_smooth_1250g_chocolate_crispy_1250g_combo,MyFitness Peanut Butter Chocolate Smooth 1250g + Chocolate Crispy 1250g Combo,Myfitness Peanut Butter,spread,sauce-ketchup-butter,1250.0,g,1069.0,jiomart
5,jiomart_teacurry_teacurry_blue_butterfly_pea_flower_tea_10_grams_20_drinks_helps_in_skin_glow_hair_growth_ey,"TEACURRY Blue Butterfly Pea Flower Tea- 10 Grams + 20 Drinks | Helps in Skin Glow, Hair Growth, Eyesight, Mood Enhance | Vegan | Imported from Indonesia",Teacurry,beverage,tea-cofee,10.0,g,189.0,jiomart
6,jiomart_ritual_farms_ritual_farms_natural_brown_sugar_500_gm_pack_traditional_brown_sugar_crystals_for_kitch,RITUAL FARMS Natural Brown Sugar 500 Gm Pack - Traditional Brown Sugar Crystals for Kitchen and Culinary Use (500 Gm Pack),Ritual Farms,essentials,salt-sugar,500.0,g,189.0,jiomart
7,jiomart_maggi_maggi_korean_spicy_cheesy_cuppa_noodles_715_g,Maggi Korean Spicy Cheesy Cuppa Noodles 71.5 g,Maggi,noodles_pasta,noodles-pasta,71.5,g,89.0,jiomart
8,jiomart_dlecta_dlecta_cheese_slices_200_g_pouch,D'lecta Cheese Slices 200 g (Pouch),D'Lecta,dairy,cheese-paneer,200.0,g,89.0,jiomart
9,jiomart_well_green_well_green_rolled_oats_250gm_high_protein_fibre_100_wholegrain,"WELL GREEN Rolled Oats 250gm High Protein & Fibre, 100% Wholegrain,",Well Green,snacks,breakfast,250.0,g,209.0,jiomart
10,jiomart_gopaldhara_gopaldhara_darjeeling_tea_mellow_flowery_first_flush_broken_darjeeling_black_tea_500g_sta,"Gopaldhara Darjeeling Tea - Mellow & Flowery First Flush Broken Darjeeling Black Tea 500g Standup Pouch | 100% Pure Darjeeling Tea High in Antioxidants, Boosts Metabolism & Promotes good Heart Health",Gopaldhara,beverage,tea-cofee,500.0,g,553.0,jiomart
11,jiomart_good_life_good_life_maida_1_kg,Good Life Maida 1 kg,Good Life,essentials,flour,1.0,kg,52.0,jiomart
12,jiomart_goodricke_goodricke_castleton_vintage_darjeeling_tea_250gm_single_estate_premium_whole_leaf_black_te,Goodricke Castleton Vintage Darjeeling Tea - 250gm | Single Estate Premium Whole Leaf Black Tea,Goodricke,beverage,tea-cofee,250.0,g,621.0,jiomart
13,jiomart_goshudh_goshudh_bura_5_kg_sugar_powder,Goshudh Bura 5 Kg Sugar Powder,Goshudh,essentials,salt-sugar,5.0,kg,523.0,jiomart
14,jiomart_apis_apis_himalaya_honey_1kg_buy_1_get_1_free_100_pure_no_added_sugar_or_adulteration,"Apis Himalaya Honey, 1kg (Buy 1 Get 1 Free) | 100% Pure| No Added Sugar or Adulteration",Apis,spread,sauce-ketchup-butter,1.0,kg,393.0,jiomart
15,jiomart_veganic_veganic_penne_pasta_durum_wheat_pasta_high_fiber_spaghetti_1800g,Veganic Penne Pasta | Durum Wheat Pasta | High Fiber | Spaghetti 1800G,Veganic,noodles_pasta,noodles-pasta,1.75,kg,359.0,jiomart
16,jiomart_trinetra_trinetra_jau_daliya_3_kg_pack,Trinetra Jau Daliya 3 kg Pack,Trinetra,essentials,flour,3.0,kg,475.0,jiomart
17,jiomart_la_casa_la_casa_french_vanilla_chocolate_belgian_waffle_mix_800_gm_pack_of_2,La Casa French Vanilla Chocolate Belgian Waffle Mix 800 Gm (Pack Of 2),La Casa,ready_to_eat,ready-to-eat,800.0,g,289.0,jiomart
18,jiomart_del_monte_del_monte_tomato_ketchup_classic_blend_450_g,"Del Monte Tomato Ketchup, Classic Blend - 450 g",Del Monte,spread,sauce-ketchup-butter,450.0,g,44.0,jiomart
19,jiomart_laxmi_laxmi_daily_feast_500_gm_kaju_val_papdi_lima_beans,Laxmi Daily Feast 500 Gm Kaju Val Papdi | Lima Beans,Laxmi,essentials,pulses,500.0,g,259.0,jiomart
20,jiomart_gangaur_gangaur_gehu_dalia_wheat_porridge1kg,Gangaur Gehu Dalia (Wheat Porridge)/1kg,Gangaur,essentials,flour,1.0,kg,229.0,jiomart
21,jiomart_gopal_gopal_premium_chamonmoni_rice_10kg,Gopal Premium Chamonmoni Rice 10Kg,Gopal,essentials,rice,10.0,kg,1049.0,jiomart
22,jiomart_yogabar_yogabar_dark_chocolate_oats_1kg_pack_of_2_gluten_free_golden_oats_healthy_breakfast_cereal_w,Yogabar Dark Chocolate Oats 1kg Pack of 2 | Gluten Free Golden Oats | Healthy Breakfast Cereal with Wholegrain Oats (Dark Chocolate Oats 1kg Pack of 2),Yogabar,snacks,breakfast,1.0,kg,719.0,jiomart
23,jiomart_nutella_nutella_hazelnut_spread_with_cocoa_jar_180_g_with_bigger_pack,"Nutella Hazelnut Spread with Cocoa Jar, 180 g with Bigger Pack",Nutella,spread,sauce-ketchup-butter,180.0,g,225.0,jiomart
24,jiomart_24_mantra_organic_24_mantra_organic_moong_dal_1_kg,24 Mantra Organic Moong Dal 1 kg,24 Mantra Organic,essentials,pulses,1.0,kg,251.0,jiomart
25,jiomart_aplenty_aplenty_amla_pickle_homemade_awle_ka_achaar_fresh_tangy_gooseberry_pickles_authentic_aavla_a,Aplenty Amla Pickle | Homemade Awle ka Achaar | Fresh Tangy Gooseberry Pickles | Authentic Aavla Achar (400g),Aplenty,flavourings,pickles-chutney,400.0,g,218.0,jiomart
26,jiomart_farmcraves_farmcraves_premium_combo_pack_of_raw_pumpkin_seed_sunflower_seed_flax_seed_chia_seed100g_,"FARMCRAVES Premium Combo Pack Of Raw Pumpkin Seed , Sunflower Seed , Flax Seed , Chia Seed-100G Each , Healthy Seed Combo for Eating",Farmcraves,essentials,dry-fruits-nuts,100.0,g,296.0,jiomart
