batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source
1,jiomart_chandni_chowk_chandni_chowk_ready_to_eat_steamed_white_basmati_rice_just_heat_and_serve_authentic_re,Chandni Chowk Ready to Eat Steamed White Basmati Rice | Just Heat and Serve | Authentic Ready to Eat White Basmati Rice with Traditional Flavor | No Preservatives Or Artificial Colors | 250 gm Pack of 1,Chandni Chowk,ready_to_eat,ready-to-eat,250.0,g,119.0,jiomart
2,jiomart_masterchow_masterchow_combo_of_indochinese_chowmein_sauce_220_gm_whole_wheat_noodles_300_gm,Masterchow Combo of Indo-Chinese Chowmein Sauce 220 gm + Whole wheat Noodles 300 gm,Masterchow,noodles_pasta,noodles-pasta,220.0,g,302.0,jiomart
3,jiomart_st_dalfour_st_dalfour_red_raspberry_fruit_spread_284_g_product_of_france,St. Dalfour Red Raspberry Fruit Spread 284 g Product of France,St. Dalfour,spread,sauce-ketchup-butter,,Dalfour,425.0,jiomart
4,jiomart_trinetra_trinetra_desi_khand_5_kg_1kg_x_5_pack_sugar,Trinetra Desi Khand 5 kg (1Kg X 5 Pack) Sugar,Trinetra,essentials,salt-sugar,5.0,kg,736.0,jiomart
5,jiomart_havepure_naturally_yours_havepure_naturally_yours_black_soybean_organic_nongmo_highprotein_beans_ric,"havepure Naturally Yours Black Soybean - Organic, Non-GMO, High-Protein Beans, Rich in Fiber and Essential Nutrients, Great for Vegan and Vegetarian Diets, Fresh Pulses Whole (750 Gram) Incomplete",Havepure Naturally Yours,essentials,wheat-soya,750.0,g,235.0,jiomart
6,jiomart_mk_it_easy_mk_it_easy_instant_millets_khichdi_mix_200g_pack_of_8,Mk it easy Instant Millets Khichdi Mix | 200g | pack of 8,Mk It Easy,ready_to_eat,ready-to-eat,200.0,g,680.0,jiomart
7,jiomart_nestle_nestle_milo_active_go_tin_400g_imported_pack_of_2,"Nestle Milo Active Go Tin, 400g (Imported) - Pack of 2",Nestle,beverage,juice-drink,400.0,g,999.0,jiomart
8,jiomart_nutty_nutty_crunchy_peanut_butter_100_nongmo_vegan_source_of_protein_dietary_fibre_food_0_transfat_o,"NUTTY Crunchy Peanut Butter, 100% Non-GMO, Vegan, Source of Protein & Dietary Fibre Food, 0% Trans-Fat, Original American Flavored Peanut Butter (340g),Brown",Nutty,spread,sauce-ketchup-butter,340.0,g,179.0,jiomart
9,jiomart_myfitness_peanut_butter_myfitness_peanut_butter_original_crunchy_227_gms,"MyFitness Peanut Butter Original Crunchy, 227 gms",Myfitness Peanut Butter,spread,sauce-ketchup-butter,227.0,g,135.0,jiomart
10,jiomart_scoopeat_scoopeat_fruit_nut_muesli_750gm_breakfast_cereal_with_rolled_oats_millets_almonds_seeds_rea,"Scoopeat Fruit & Nut Muesli- 750gm | Breakfast Cereal with Rolled Oats, Millets, Almonds, Seeds & Real Fruits | High Fiber, No Refined Sugar| No Preservatives| No Artificial Flavor & Colors.",Scoopeat,snacks,breakfast,750.0,g,549.0,jiomart
11,jiomart_green_piece_green_piece_jain_sauce_with_no_oniongarlic_soyagreen_chillired_chilli_tomato500gm_x_4_pa,"Green Piece Jain Sauce WIth No Onion/Garlic Soya,Green Chilli,Red Chilli & Tomato(500gm x 4) (Pack of 4)",Green Piece,spread,sauce-ketchup-butter,500.0,g,419.0,jiomart
12,jiomart_tata_sampann_tata_sampann_100_pure_premium_cashew_200g_x_2_pack_of_2,Tata Sampann 100% Pure Premium Cashew 200g x 2 (Pack of 2),Tata Sampann,essentials,dry-fruits-nuts,200.0,g,479.0,jiomart
13,jiomart_gustora_gustora_farfalle_pasta_500_grams_i_made_of_whole_wheat_semolina_i_no_maida_i_vegetarian_i_ri,Gustora Farfalle Pasta - 500 Grams I Made of Whole Wheat Semolina I No Maida I Vegetarian I Rich in Protein & Fibre I Zero Cholesterol,Gustora,noodles_pasta,noodles-pasta,500.0,g,152.0,jiomart
