batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source
1,jiomart_puramio_puramio_whipping_cream_powder_vanilla_250g,"Puramio Whipping Cream Powder - Vanilla, 250g",Puramio,ready_to_eat,ready-to-eat,250.0,g,360.0,jiomart
2,jiomart_miltop_miltop_soya_mince_500gpack_of_2,"Miltop Soya Mince, 500g(pack of 2)",Miltop,essentials,wheat-soya,500.0,g,235.0,jiomart
3,jiomart_la_casa_la_casa_icecream_premix_premix_vanillachocolate_combo_pack_of_2_extra_creamy_strong_flavor_2,La Casa Icecream Premix Premix - Vanilla+Chocolate | Combo Pack of 2 | Extra Creamy & Strong Flavor | 2x250g ,|La Casa,ready_to_eat,ready-to-eat,,g,299.0,jiomart
4,jiomart_red_cliff_red_cliff_dark_chocolate_spread_35_cocoa_all_natural_ganache_no_colorsessencepreservatives,RED CLIFF Dark Chocolate Spread | 35% Cocoa | All Natural Ganache | No Colors/Essence/Preservatives Used | (Dark Chocolate Spread | 350g |),Red Cliff,spread,sauce-ketchup-butter,350.0,g,349.0,jiomart
5,jiomart_blue_dragon_blue_dragon_instant_cup_noodle_thai_green_curry_315gm_pack_of_5_63gmx5,Blue Dragon Instant Cup Noodle Thai Green Curry 315gm (Pack of 5) (63gmX5),Blue Dragon,noodles_pasta,noodles-pasta,315.0,g,506.0,jiomart
6,jiomart_suhana_suhana_sambar_masala_100_g,Suhana Sambar Masala 100 g,Suhana,essentials,masala,100.0,g,40.0,jiomart
7,jiomart_jairaj_jairaj_sarvottam_green_peas_1kg_natural_protein_source_healthy_wholesome_slightly_sweet_flavo,"Jairaj Sarvottam Green Peas 1kg | Natural Protein Source, Healthy, Wholesome, Slightly Sweet Flavor, Packed with Vitamins & Minerals, Perfect for Any Dish",Jairaj,essentials,pulses,1.0,kg,268.0,jiomart
8,jiomart_nutra_vita_nutra_vita_freeze_dried_vegan_mozzarella_cheese_flakes_100_grams_plantbased_cheesy_season,"Nutra Vita Freeze Dried Vegan Mozzarella Cheese Flakes (100 Grams ,Plant-Based, Cheesy Seasoning, Dairy-Free, Not Milk Cheese)",Nutra Vita,dairy,cheese-paneer,100.0,g,299.0,jiomart
9,jiomart_one_bee_organic_one_bee_organic_cinnamoncinnamondalchini_honey_natural_infused_honey_280_gm,ONE BEE ORGANIC | Cinnamon/Cinnamon/Dalchini Honey | Natural Infused Honey - 280 GM.,One Bee Organic,spread,sauce-ketchup-butter,280.0,g,230.0,jiomart
10,jiomart_momsy_momsy_premium_450gm_matar_dal_white_peas_safed_matar,Momsy Premium (450gm) Matar Dal - White Peas - Safed Matar,Momsy,essentials,pulses,450.0,g,177.0,jiomart
