batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source
1,jiomart_yogabar_yogabar_power_up_20g_protein_bar_5_x_choco_peanut_butter_bars_5_x_coffee_rush_bars_no_added_,"Yogabar Power Up 20g Protein Bar (5 x Choco Peanut Butter Bars, 5 x Coffee Rush Bars) | No Added Sugar Protein Bars | Premium High Protein Blend - Whey Protein Concentrate, Isolate, Peanuts & Soy | Healthy Protein Snacks",Yogabar,snacks,breakfast,20.0,g,1150.0,jiomart
2,jiomart_molisana_la_molisana_spaghetti_n_15_durum_wheat_semolina_italian_pasta_500g,La Molisana SPAGHETTI N 15 Durum wheat semolina Italian pasta 500g,Molisana,noodles_pasta,noodles-pasta,15.0,Durum,285.0,jiomart
3,jiomart_hand_hand_brand_premium_roasted_seviyan_450_g,Hand Brand Premium Roasted Seviyan 450 g,Hand,noodles_pasta,noodles-pasta,450.0,g,55.0,jiomart
4,jiomart_gustora_gustora_durum_wheat_semolina_rigatoni_pasta_400g_i_vegetarian_pasta_i_rich_in_fibre_protein_,Gustora Durum Wheat Semolina Rigatoni Pasta 400g I Vegetarian Pasta I Rich in Fibre & Protein - 400GM,Gustora,noodles_pasta,noodles-pasta,400.0,g,185.0,jiomart
5,jiomart_freshocartz_freshocartz_dry_fruit_pure_and_natural_white_broken_in_2_pcs_cashew_kaju_100_g,FreshoCartz Dry Fruit Pure And Natural White Broken in 2 Pcs Cashew Kaju 100 g,Freshocartz,essentials,dry-fruits-nuts,2.0,pcs,399.0,jiomart
6,jiomart_dhampur_green_dhampur_green_1kg_jaggery_powder_sachet_200_sachets_of_5g_each_100_organic_100_pure_10,"Dhampur Green 1Kg Jaggery Powder Sachet | 200 Sachets of 5g each | 100% Organic, 100% Pure & 100% Chemical Free | Jaggery Powder For Tea and Coffee , Milk, Mithai",Dhampur Green,essentials,salt-sugar,1.0,kg,299.0,jiomart
7,jiomart_danima_danima_celebration_coconut_cookies_300_g_pack_of_2,"Danima Celebration Coconut Cookies, 300 G (Pack of 2)",Danima,snacks,bakery,300.0,g,319.0,jiomart
8,jiomart_dark_fantasy_sunfeast_dark_fantasy_choco_fills_cookie_69_g,Sunfeast Dark Fantasy Choco Fills Cookie 69 g,Dark Fantasy,snacks,biscuit,75.0,g,33.0,jiomart
9,jiomart_snack_first_snack_first_baked_cheese_ball_corn_balls_combo_of_2_cheese_flavor_healthy_snacks_high_pr,"Snack First Baked Cheese Ball, Corn Balls, Combo of 2, Cheese Flavor, Healthy Snacks, High Protein & Fibre Snack, Diet Food, 160g",Snack First,snacks,chips-namkeen,160.0,g,190.0,jiomart
10,jiomart_la_casa_la_casa_emulsion_orange_vanilla_chocolate_natural_food_flavouring_essence_ideal_for_baking_d,"La Casa Emulsion Orange, Vanilla & Chocolate - Natural Food Flavouring Essence| Ideal for Baking, Desserts, Icecream Beverages & More | 3X40ml ",|La Casa,flavourings,pickles-chutney,,ml,399.0,jiomart
11,jiomart_disano_disano_crunchy_peanut_butter_924_g,Disano Crunchy Peanut Butter 924 g,Disano,spread,sauce-ketchup-butter,924.0,g,187.0,jiomart
12,jiomart_veganic_veganic_coconut_peda_400gm_real_coconut_toffee_candy_kesari_badam_goli_soft_chewy_nariyal_pe,VEGANIC Coconut Peda 400gm Real Coconut Toffee Candy Kesari Badam Goli Soft & Chewy Nariyal Peda Coconut Milky Candy Caramels,Veganic,chocolate,chocolate,400.0,g,199.0,jiomart
13,jiomart_add_me_add_me_homemade_punjabi_garlic_chutney_in_pure_desi_ghee_300g_authentic_indian_chutney_glass_,Add Me Homemade Punjabi Garlic Chutney in Pure Desi Ghee 300g | Authentic Indian Chutney Glass Pack,Add Me,flavourings,pickles-chutney,300.0,g,249.0,jiomart
14,jiomart_foodado_foodado_premium_gluten_free_ajwain_biscuit_900gm_lactose_free_multigrain_sweet_salty,FOODADO Premium Gluten Free Ajwain Biscuit (900gm) | Lactose Free| Multigrain| Sweet & Salty,Foodado,snacks,bakery,900.0,g,387.0,jiomart
15,jiomart_yuvraj_yuvraj_tikha_spicy_mixture_namkeen_150_gm_x_2_pack,Yuvraj Tikha spicy mixture Namkeen ( 150 gm x 2 ) pack,Yuvraj,snacks,chips-namkeen,150.0,g,150.0,jiomart
16,jiomart_go_go_organic_light_broken_walnuts_kernels_without_shell_250g_x_2_500g_walnuts_kernels_kashmiri_waln,Go Organic Light Broken Walnuts Kernels Without Shell (250g x 2) 500g | Walnuts Kernels | Kashmiri Walnuts,Go,essentials,dry-fruits-nuts,250.0,g,365.0,jiomart
17,jiomart_momsy_momsy_premium_handmade_950gm_cherry_tutti_frutti_cookies,Momsy Premium Handmade (950gm) Cherry Tutti Frutti Cookies,Momsy,snacks,biscuit,950.0,g,432.0,jiomart
18,jiomart_kyk_foods_kyk_foods_desi_sattu_multigrain_made_with_chickpea_wheat_and_rice_800gm,"KYK FOODS Desi Sattu (Multigrain) | Made With chickpea, Wheat and Rice (800gm)",Kyk Foods,essentials,flour,800.0,g,255.0,jiomart
19,jiomart_krackjack_parle_krackjack_the_original_sweet_and_salty_cracker_700_g,Parle Krackjack The Original Sweet And Salty Cracker 700 g,Krackjack,snacks,biscuit,700.0,g,124.0,jiomart
20,jiomart_kiyo_kiyos_combo_pack_of_golgappa_pani_puri_chutney_100_gms_2_date_tamarind_chutney_100_gms_2_non_fr,Kiyo's Combo pack of Golgappa | | Pani puri Chutney - 100 GMS * 2 | | Date & Tamarind Chutney - 100 GMS * 2 | | Non fried Puris - 100 PCS | ,|Kiyo,flavourings,pickles-chutney,100.0,g,245.0,jiomart
21,jiomart_gustora_gustora_100_durum_wheat_semolina_i_fiber_rich_i_nongmo_i_vegetarian_i_fusilli_pasta_combo_pa,Gustora 100% Durum Wheat Semolina I Fiber Rich I Non-GMO I Vegetarian I Fusilli Pasta Combo Pack of 2 (500g X 2),Gustora,noodles_pasta,noodles-pasta,500.0,g,219.0,jiomart
