batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source
1,jiomart_apka_kisan_apka_kisan_sehori_atta_flour_15_kg_sehori_lokwan_chakki_fresh_atta_stone_grinded_no_prese,"APKA KISAN | SEHORI ATTA | FLOUR | 15 KG | SEHORI LOKWAN CHAKKI FRESH ATTA | STONE GRINDED | NO PRESERVATIVES | FARMERS OF SEHORE, MADHYA PRADESH",Apka Kisan,essentials,flour,15.0,kg,1259.0,jiomart
2,jiomart_bulbul_bulbul_kachi_ghani_mustard_oil_1_litre_100_cold_pressed_pure_natural_healthy_mustard_oil_for_,"BULBUL Kachi Ghani Mustard Oil 1 Litre, 100% Cold Pressed, Pure, Natural & Healthy Mustard Oil for Cooking, Frying & Dressing",Bulbul,essentials,oil,1.0,L,245.0,jiomart
3,jiomart_malkist_malkist_cheese_and_cappuccino_flavoured_cracker_biscuits_family_pack_144g_pack_of_4,Malkist Cheese and Cappuccino Flavoured Cracker Biscuits (family pack) - 144g (Pack of 4),Malkist,snacks,biscuit,144.0,g,240.0,jiomart
4,jiomart_lila_dry_fruits_lila_dry_fruits_premium_nutritious_delicious_cashew_golden_raisins_combo_jar_pack_of,LILA DRY FRUITS Premium Nutritious & Delicious Cashew & Golden Raisins Combo Jar Pack of 50gms each (100gms total) | Dried Kishmish & Kaju | Fibre Calcium & Iron Rich | Low in calories and Fat Free,Lila Dry Fruits,essentials,dry-fruits-nuts,50.0,g,269.0,jiomart
5,jiomart_goshudh_goshudh_sugar_3_kg_1kg_x_3_pack,Goshudh Sugar 3 kg (1Kg X 3 Pack),Goshudh,essentials,salt-sugar,3.0,kg,288.0,jiomart
6,jiomart_mr_makhana_mr_makhana_himalayan_salt_pepper_popped_lotus_seeds_20_g,Mr Makhana Himalayan Salt & Pepper Popped Lotus Seeds 20 g,Mr Makhana,snacks,chips-namkeen,20.0,g,37.0,jiomart
7,jiomart_nikunj_nikunj_premium_green_tea_jar_250g,"Nikunj Premium Green Tea Jar, 250g",Nikunj,beverage,tea-cofee,250.0,g,159.0,jiomart
8,jiomart_anveshan_anveshan_mustard_oil_1l,Anveshan Mustard Oil 1L,Anveshan,essentials,oil,1.0,L,489.0,jiomart
9,jiomart_kwality_kwality_gulab_jamun_mix_175g_pouch_pack_of_2,Kwality Gulab Jamun Mix 175g Pouch (Pack of 2),Kwality,ready_to_eat,ready-to-eat,175.0,g,145.0,jiomart
10,jiomart_daawat_daawat_pulav_basmati_rice_1_kg,Daawat Pulav Basmati Rice 1 kg,Daawat,essentials,rice,1.0,kg,135.0,jiomart
11,jiomart_cadbury_cadbury_celebrations_assorted_chocolate_gift_pack_1542_g,Cadbury Celebrations Assorted Chocolate Gift Pack 154.2 g,Cadbury,chocolate,chocolate,154.2,g,157.0,jiomart
