batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes
1,jiomart_aashirvaad_aashirvaad_sugar_control_atta_1_kg,Aashirvaad Sugar Control Atta 1 kg,Aashirvaad,essentials,flour,1.0,kg,78.0,jiomart,356.0,74.0,12.5,9.3,2.1,1.2,4.0,2.5,0.8,,,,,,
2,jiomart_trinetra_trinetra_soya_chunks_4_kg_1kg_x_4_pack,Trinetra Soya Chunks 4 kg (1Kg X 4 Pack),Trinetra,essentials,wheat-soya,4.0,kg,720.0,jiomart,360.0,64.2,10.4,14.1,8.5,3.9,0.6,150.0,2.4,,,,,,
3,jiomart_bb_organics_bb_organics_karupattipalm_jaggery_powder_500_gtraditional_palm_jaggery_powderkarupatti_t,B&B Organics Karupatti/Palm Jaggery Powder - 500 g/Traditional Palm Jaggery powder/Karupatti Thool,B&B Organics,essentials,salt-sugar,500.0,g,346.0,jiomart,,72.1,71.9,0.3,0.4,0.2,0.1,,0.5,,,,,,
4,jiomart_savara_nuts_savara_nuts_natural_dried_anjeer_figs_400_gm_premium_quality_no_added_sugar,"Savara nuts Natural Dried Anjeer (Figs) - 400 gm | Premium Quality, No Added Sugar",Savara Nuts,essentials,dry-fruits-nuts,400.0,g,330.0,jiomart,277.0,67.3,58.2,1.7,13.6,0.9,8.4,0.2,0.1,,,,,,
5,jiomart_orbit_wrigleys_orbit_sugar_free_sweetmint_chewing_gum_198_g,Wrigley's Orbit Sugar Free Sweetmint Chewing Gum 19.8 g,Orbit,chocolate,chocolate,19.8,g,42.0,jiomart,,4.8,1.2,0.3,0.9,0.6,0.4,,0.2,"Sugar Free Sweetmint Flavor, Gum Base, Confectioner's Glaze, Carnauba Wax, Glycerol, Citric Acid, Natural Flavors, Aspartame, Acesulfame Potassium, Sucralose",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label
6,jiomart_cook_garden_cookgarden_protein_rich_breakfast_instant_oats_500_gm_pack_of_9,CookGarden Protein Rich Breakfast Instant Oats 500 gm - Pack Of 9,Cook Garden,snacks,breakfast,500.0,g,1149.0,jiomart,370.0,65.0,10.0,15.0,8.0,2.5,3.0,200.0,1.0,,,,,,
7,jiomart_add_me_add_me_pudina_chutney_210_gm_classic_indian_mint_sauce_bhelpuri_pani_puri_chutneys,Add me Pudina Chutney 210 Gm Classic Indian Mint Sauce bhelpuri pani Puri chutneys,Add Me,flavourings,pickles-chutney,210.0,g,149.0,jiomart,,7.2,6.5,0.3,9.8,1.4,0.2,250.0,1.5,,,,,,
8,jiomart_india_flavour_india_flavour_chocolate_mocha_strong_instant_coffee_powder_no_chicory_100_gm_coffee_50,"INDIA FLAVOUR Chocolate Mocha | Strong Instant Coffee Powder, No Chicory | 100 gm coffee, 50 Servings",India Flavour,beverage,tea-cofee,100.0,g,282.0,jiomart,,24.5,11.2,3.7,12.4,8.1,0.5,,,,,,,,
9,jiomart_royal_royal_white_vinegar_750_ml_pack_of_2_premium_foodgrade_ideal_for_salads_pickles_everyday_kitch,"Royal White Vinegar 750 ml (Pack of 2) - Premium Food-Grade | Ideal for Salads, Pickles & Everyday Kitchen Use",Royal,spread,sauce-ketchup-butter,750.0,ml,249.0,jiomart,,,0.5,0.1,0.2,0.1,0.0,,0.5,,,,,,
10,jiomart_ansubaa_ansubaa_methi_masala_thepla_vacuum_packed_10_pieces_in_1_box_ready_to_eat_gujarati_snack_3_m,Ansubaa Methi Masala Thepla | Vacuum Packed | 10 Pieces in 1 Box | Ready to Eat Gujarati Snack | 3 Month Shelf Life | Free Pickle Inside | Indian Wheat Bread | Pure Vegetarian Food,Ansubaa,ready_to_eat,ready-to-eat,10.0,pcs,189.0,jiomart,380.0,64.0,10.0,8.0,16.0,4.0,2.0,250.0,1.0,,,,,,
