batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes
1,jiomart_ancient_roots_ancient_roots_multigrain_cookies_150g_x_pack_of_2_biscuits_1618_pcs_for_healthy_snacks,Ancient Roots Multigrain Cookies - 150g x Pack of 2 / Biscuits (16-18 Pcs) / For Healthy Snacks / Best Paired with Tea & Coffee / No Maida / No Sugar / No Palm Oil / 100% Butter & Jaggery Cookies / Healthy Breakfast Cookies / Vacuum Pack,Ancient Roots,snacks,biscuit,150.0,g,379.0,jiomart,,24.5,12.2,4.8,11.3,7.1,0.9,150.0,,"Mustard oil, Jaggery, Whole wheat flour, Brown sugar, Butter",30g,7.0,,,
2,jiomart_nutra_vita_nutra_vita_parmesan_powder200_grams,Nutra Vita Parmesan Powder(200 Grams),Nutra Vita,dairy,cheese-paneer,200.0,g,589.0,jiomart,375.0,5.0,1.0,20.0,32.0,15.0,0.0,200.0,1.0,,,,,,
3,jiomart_twinings_twinings_lemon_and_ginger_tea_25_tea_bags,"Twinings Lemon and Ginger Tea, 25 Tea Bags",Twinings,beverage,tea-cofee,25.0,,382.0,jiomart,,,,,0.1,0.05,0.2,10.0,0.5,,,,,,
4,jiomart_sambhojanam_sambhojanam_singhara_atta_450_gmgluten_freechestnut_floursinghara_atta_for_fasting,Sambhojanam Singhara Atta 450 gm/Gluten Free/Chestnut Flour/Singhara Atta For Fasting,Sambhojanam,essentials,flour,450.0,g,210.0,jiomart,,,2.5,4.3,0.9,0.6,1.8,,0.2,,,,,,
5,jiomart_danima_danima_lemon_cookies_no_added_sugar_150_g_pack_of_3,"Danima Lemon Cookies No Added Sugar, 150 G (Pack of 3)",Danima,snacks,bakery,150.0,g,698.0,jiomart,550.0,60.0,20.0,5.0,25.0,12.0,2.0,200.0,1.0,,,,,,
6,jiomart_meewa_meewa_1_kg_walnut_premium_extra_light_halves_white_kernels_akhrot_giri,MEEWA 1 KG WALNUT PREMIUM EXTRA LIGHT HALVES WHITE KERNELS AKHROT GIRI,Meewa,essentials,dry-fruits-nuts,1.0,kg,875.0,jiomart,575.0,12.2,3.5,21.0,58.8,4.1,6.2,0.5,0.3,,,,,,
7,jiomart_green_piece_green_piece_baking_powder_100gm_baking_soda_100gm_and_dry_yeast_50gm_pack_of_3,"Green Piece Baking Powder (100gm) , Baking Soda (100gm) and Dry Yeast (50gm) (Pack of 3)",Green Piece,ready_to_eat,ready-to-eat,100.0,g,186.0,jiomart,,,,,,,,,,,,,,,
8,jiomart_nature_lite_foods_nature_lite_foods_woodcold_pressed_mustard_oil1_litre_plastic_bottle_kolhukacchi_g,Nature Lite FOODS Wood/Cold Pressed Mustard Oil-1 Litre | Plastic Bottle | Kolhu/Kacchi Ghani/Chekku | Natural | Chemical-Free | Cold Pressed Black Mustard Oil For Cooking | Sarso Tel,Nature Lite Foods,essentials,oil,1.0,L,400.0,jiomart,870.0,0.0,0.0,0.0,99.5,9.4,0.0,0.0,0.0,,,,,,
9,jiomart_nutri_petals_nutri_petals_7_in_1_seeds_mix_1kg_edible_seeds_healthy_seeds_diet_snacks_100_natural_an,"NUTRI PETALS 7 in 1 Seeds Mix 1Kg - Edible Seeds | Healthy Seeds | Diet Snacks | 100% Natural and Roasted Seeds - Pumpkin, Watermelon, Sunflower, Flax, Chia, Sesame & Soynuts",Nutri Petals,essentials,dry-fruits-nuts,7.0,,389.0,jiomart,550.0,30.0,10.0,20.0,40.0,25.0,5.0,200.0,0.2,,,,,,
10,jiomart_kitchens_of_india_kitchens_of_india_ready_to_eat_dal_makhani_285_g,Kitchens of India Ready To Eat Dal Makhani 285 g,Kitchens Of India,ready_to_eat,ready-to-eat,285.0,g,92.0,jiomart,365.0,72.5,13.8,10.2,16.1,9.3,4.5,250.0,0.8,,,,,,
