batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes
1,jiomart_goshudh_goshudh_kuttu_atta_500_g_buckwheat_flour,Goshudh Kuttu Atta 500 g Buckwheat Flour,Goshudh,essentials,flour,500.0,g,215.0,jiomart,360.0,67.2,1.4,12.3,6.8,0.9,5.2,1.0,0.4,,,,,,
2,jiomart_society_society_daily_coffee_premix_1_kg_pouch_instant_coffee_,Society Daily Coffee Premix | 1 kg Pouch | Instant Coffee ,|Society,beverage,tea-cofee,1.0,kg,390.0,jiomart,350.0,70.0,55.0,5.0,15.0,10.0,2.0,200.0,0.8,,,,,,
3,jiomart_nescafe_nescafe_matinal_suave_200_gm_imported_from_uk,"Nescafe Matinal Suave , 200 Gm - Imported from UK",Nescafe,beverage,tea-cofee,200.0,g,790.0,jiomart,350.0,40.0,10.0,4.0,20.0,12.0,0.0,200.0,1.0,,,,,,
4,jiomart_charvi_999_charvi_999_besan_1kg_pure_and_fresh_gram_flour_gluten_free_pack_of_2,Charvi 999 Besan 1kg Pure and Fresh Gram Flour Gluten Free Pack of 2,Charvi 999,essentials,flour,999.0,,290.0,jiomart,,63.8,4.2,9.1,3.5,0.7,2.6,,0.4,,,,,,
5,jiomart_goodricke_goodricke_castleton_muscatel_darjeeling_tea_100gm_single_estate_2nd_flush_premium_whole_le,Goodricke Castleton Muscatel Darjeeling Tea - 100gm | Single Estate 2nd Flush Premium Whole Leaf Tea,Goodricke,beverage,tea-cofee,100.0,g,782.0,jiomart,,3.2,1.8,0.6,0.4,0.2,0.3,,0.1,,,,,,
6,jiomart_mushmillet_mushmillet_seedy_jowar_millet_cookies,Mushmillet Seedy Jowar Millet Cookies,Mushmillet,snacks,bakery,,,299.0,jiomart,550.0,70.0,20.0,10.0,25.0,8.0,5.0,200.0,2.0,,,,,,
7,jiomart_anmol_anmol_idly_rice_10_kg_i_udupi_idly_rice,Anmol Idly Rice 10 Kg I Udupi Idly Rice,Anmol,essentials,rice,10.0,kg,900.0,jiomart,,71.2,1.4,3.5,0.7,0.3,0.6,2.8,0.4,,,,,,
8,jiomart_foodcan_foodcan_kismis_400g_black_afghani_raisin_dakh_kishmis_400g,Foodcan Kismis -400g Black Afghani Raisin Dakh (Kishmis) 400g,Foodcan,essentials,dry-fruits-nuts,400.0,g,289.0,jiomart,566.0,74.8,60.5,2.4,3.7,0.6,1.8,10.0,0.2,,,,,,
9,jiomart_yellow_diamond_yellow_diamond_piri_piri_potato_chips_80_g,Yellow Diamond Piri Piri Potato Chips 80 g,Yellow Diamond,snacks,chips-namkeen,80.0,g,28.0,jiomart,360.0,19.0,1.5,2.8,20.3,10.4,0.6,350.0,5.2,,,,,,
10,jiomart_goshudh_goshudh_brown_sugar_10_kg,Goshudh Brown Sugar 10 kg,Goshudh,essentials,salt-sugar,10.0,kg,1345.0,jiomart,,66.5,74.0,0.1,0.2,0.1,0.5,,0.4,,,,,,
11,jiomart_jairaj_jairaj_supreme_traditional_basmati_tibar_long_grain_basmati_rice_for_fragrant_and_fluffy_dish,Jairaj Supreme Traditional Basmati Tibar - Long Grain Basmati Rice for Fragrant and Fluffy Dishes,Jairaj,essentials,rice,,,1639.0,jiomart,365.0,74.2,0.5,3.8,1.6,0.7,0.4,2.5,0.3,,,,,,
12,jiomart_shree_maharajas_shree_maharajas_gajar_pickle_handcrafted_original_recipe_traditional_taste_carrot_pi,SHREE MAHARAJA'S Gajar Pickle | Handcrafted original recipe & Traditional Taste Carrot Pickle Made In Mustard Oil | Taste of Banaras (300 grams),Shree Maharaja'S,flavourings,pickles-chutney,300.0,g,233.0,jiomart,140.0,14.2,5.8,0.3,12.9,7.1,0.6,2.5,4.8,,,,,,
13,jiomart_continental_continental_super_strong_blend_coffee_50_g,Continental Super Strong Blend Coffee 50 g,Continental,beverage,tea-cofee,50.0,g,71.0,jiomart,,,,,,,,1.0,0.2,,,,,,
14,jiomart_good_life_good_life_california_roasted_salted_pista_200_g,Good Life California Roasted & Salted Pista 200 g,Good Life,essentials,dry-fruits-nuts,200.0,g,224.0,jiomart,,,,21.0,14.0,7.0,2.0,1.0,,,,,,,
15,jiomart_loyka_loyka_choco_dates_premium_pack_of_10_x_6_pieces_each_premium_choclate_coated_dates_choco_khajo,Loyka Choco Dates Premium pack of 10 x 6 pieces each | Premium Choclate Coated Dates |Choco Khajoor Gift Hamper | Gourmet Dates,Loyka,chocolate,chocolate,,pcs,899.0,jiomart,,53.4,45.6,2.1,15.5,9.3,0.8,,0.4,"Dates, Sugar, Cocoa Butter, Milk Powder, Mustard Oil, Ghee, Cardamom, Cinnamon, Nutmeg",30g,7.0,,,
16,jiomart_shree_shree_plain_badam_200_g,Shree Plain Badam 200 g,Shree,essentials,dry-fruits-nuts,200.0,g,244.0,jiomart,550.0,72.3,34.8,15.5,37.2,10.9,4.3,1.0,0.8,,,,,,
17,jiomart_laxminarayan_laxmi_narayan_best_potato_chiwda_400_g,Laxmi Narayan Best Potato Chiwda 400 g,Laxminarayan,snacks,chips-namkeen,400.0,g,169.0,jiomart,550.0,65.0,10.0,4.0,28.0,12.0,2.0,350.0,6.0,,,,,,
18,jiomart_nongshim_nongshim_shin_ramyun_kimchi_instant_vegetarian_noodles_120_g_pack_of_5,"Nongshim Shin Ramyun Kimchi Instant Vegetarian Noodles, 120 G (Pack Of 5)",Nongshim,noodles_pasta,noodles-pasta,120.0,g,699.0,jiomart,370.0,62.2,4.8,10.5,12.1,6.3,0.9,550.0,2.7,,,,,,
19,jiomart_dhampur_green_breakfast_sugar_800g_x_2,Breakfast Sugar 800g X 2,Dhampur Green,essentials,salt-sugar,800.0,g,397.0,jiomart,,,10.2,0.1,3.5,1.8,0.4,,0.2,"Dhampur Green Sugar, Salt",30g,7.0,,,
20,jiomart_lila_dry_fruits_lila_dry_fruits_500gms_x_2_1_kgs_mason_jar_pack_premium_dried_afghani_anjeer_dried_f,LILA DRY FRUITS 500gms x 2 (1 Kgs) Mason Jar Pack Premium Dried Afghani Anjeer| Dried Figs,Lila Dry Fruits,essentials,dry-fruits-nuts,500.0,g,1199.0,jiomart,,64.0,55.0,1.5,0.2,0.1,3.0,,0.01,,,,,,
21,jiomart_prov_prov_select_california_independence_almonds_500_g,ProV Select California Independence Almonds 500 g,Prov,essentials,dry-fruits-nuts,500.0,g,417.0,jiomart,575.0,21.2,4.8,21.9,44.6,7.1,3.2,0.0,0.0,,,,,,
22,jiomart_goshudh_goshudh_basmati_rice_2_kg_1kg_x_2_pack,Goshudh Basmati Rice 2 kg (1Kg X 2 Pack),Goshudh,essentials,rice,2.0,kg,400.0,jiomart,,2.4,0.1,1.5,0.7,0.3,0.6,,0.2,"Basmati Rice, Mustard Oil, Salt",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label
23,jiomart_gm_foods_gm_foods_vegetable_oats_chilla_200_gram_pack_of_3_,GM Foods Vegetable Oats Chilla 200 Gram ( Pack Of 3 ),Gm Foods,ready_to_eat,ready-to-eat,200.0,g,289.0,jiomart,360.0,44.5,9.0,4.0,14.0,8.0,2.5,350.0,3.5,,,,,,
24,jiomart_everest_everest_chicken_biryani_masala_powder_50_g,Everest Chicken Biryani Masala Powder 50 g,Everest,essentials,masala,50.0,g,63.0,jiomart,375.0,34.2,8.4,6.1,20.5,12.3,0.9,350.0,2.8,,,,,,
25,jiomart_jairaj_jairaj_sarvottam_matki_quality_whole_moth_beans_nutritional_powerhouse_immunity_booster_perfe,"Jairaj Sarvottam Matki Quality Whole Moth Beans, Nutritional Powerhouse & Immunity Booster, Perfect for Sprouting, 1kg Pack",Jairaj,essentials,pulses,1.0,kg,205.0,jiomart,,64.2,1.6,21.4,3.5,0.8,9.2,1.0,,"Moth Beans, Mustard Oil, Jaggery, Spices",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label
26,jiomart_dhanraj_dhanraj_half_calorie_sugar500gm_pack_of_2,Dhanraj Half Calorie Sugar-500GM Pack Of 2,Dhanraj,essentials,salt-sugar,500.0,g,359.0,jiomart,355.0,76.5,75.0,2.5,10.5,7.5,,300.0,0.8,,,,,,
27,jiomart_vimal_vimal_ready_to_eat_mutter_paneer_vegetarian_meal_with_no_added_preservative_and_colours_300g,VIMAL Ready to Eat Mutter Paneer Vegetarian Meal with No Added Preservative and Colours - 300g,Vimal,ready_to_eat,ready-to-eat,300.0,g,165.0,jiomart,370.0,43.9,4.8,10.2,18.3,7.5,0.9,350.0,1.8,,,,,,
28,jiomart_keya_keya_gourmet_100_durum_wheat_semolina_pasta_combo_fusilli_pasta_x_1_elbow_pasta_x_1_400_gm_each,"Keya Gourmet 100% Durum Wheat Semolina Pasta Combo | Fusilli Pasta x 1, Elbow Pasta x 1| 400 gm Each (800 gm)",Keya,noodles_pasta,noodles-pasta,400.0,g,270.0,jiomart,,65.0,1.8,9.2,3.5,1.7,4.6,0.5,0.8,,,,,,
29,jiomart_yuvraj_yuvraj_tikha_spicy_mixture_namkeen_150_gm_x_2_pack,Yuvraj Tikha spicy mixture Namkeen ( 150 gm x 2 ) pack,Yuvraj,snacks,chips-namkeen,150.0,g,150.0,jiomart,550.0,24.0,5.0,6.0,34.0,16.0,2.0,350.0,7.0,,,,,,
30,jiomart_amul_amul_cheddar_traditional_english_cheese_250_g_pack,Amul Cheddar Traditional English Cheese 250 g (Pack),Amul,dairy,cheese-paneer,250.0,g,157.0,jiomart,,,,,,,,150.0,0.5,,,,,,
31,jiomart_agnesi_agnesi_tagliatelle_pasta_500g_product_of_italy_pack_of_1,"Agnesi Tagliatelle Pasta, 500g, Product of Italy (Pack of 1)",Agnesi,noodles_pasta,noodles-pasta,500.0,g,349.0,jiomart,370.0,70.0,2.0,10.0,12.0,3.0,1.0,350.0,2.0,,,,,,
32,jiomart_rooted_delights_rooted_delights_rajgira_millet_cookies_100gm_no_sugar_no_maida_gluten_free_healthy_m,Rooted Delights Rajgira Millet Cookies 100gm | No Sugar - No Maida - Gluten Free | Healthy Millet Cookies,Rooted Delights,snacks,biscuit,100.0,g,185.0,jiomart,550.0,24.5,4.0,7.3,20.2,10.1,2.5,350.0,0.8,,,,,,
33,jiomart_wonderland_foods_wonderland_foods_dry_fruits_california_inshell_walnuts_akhrot_2kg_1kg_x_2_pouch,Wonderland Foods Dry Fruits California Inshell Walnuts Akhrot 2Kg (1kg X 2) Pouch,Wonderland Foods,essentials,dry-fruits-nuts,2.0,kg,1389.0,jiomart,575.0,20.2,3.9,14.4,50.6,7.1,5.8,0.2,0.4,,,,,,
34,jiomart_orchard_honey_orchard_honey_premium_multi_lichi_jamun_pure_honey_100_purity_no_added_sugar_4_x_100_g,"Orchard Honey Premium, Multi, Lichi, Jamun Pure Honey, 100% Purity, No Added Sugar (4 X 100 gm), Pack of 4",Orchard Honey,spread,sauce-ketchup-butter,,g,389.0,jiomart,,17.3,17.3,0.2,13.4,8.5,0.1,,0.3,,,,,,
35,jiomart_kvd_collection_kvd_collection_bangla_kolkata_special_chowmin_veg_noodles_300g,KVD Collection Bangla Kolkata Special Chowmin Veg noodles - 300G,Kvd Collection,noodles_pasta,noodles-pasta,300.0,g,199.0,jiomart,370.0,67.0,5.0,10.0,12.0,3.5,2.0,350.0,1.0,,,,,,
36,jiomart_coolberg_coolberg_cranberry_non_alcoholic_beer_300ml_cans_pack_of_6_300ml_x_6,Coolberg Cranberry Non Alcoholic Beer 300ml CANs - Pack of 6 (300ml x 6),Coolberg,beverage,juice-drink,300.0,ml,534.0,jiomart,,11.2,9.5,0.1,0.3,0.1,0.2,20.0,,"Cranberry Juice, Sugar, Carbonated Water, Natural Flavour",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label
37,jiomart_natures_bridge_natures_bridge_organic_jaggery_pure_natural_jaggery_gud_cubes_chemical_free_gur_800_g,Nature's Bridge Organic Jaggery | Pure Natural Jaggery | Gud Cubes | Chemical Free Gur - 800 Gm Jar,Nature'S Bridge,essentials,salt-sugar,800.0,g,249.0,jiomart,,39.5,74.8,0.1,0.4,0.2,0.3,,0.8,,,,,,
38,jiomart_superyou_superyou_strawberry_protein_wafer_bar_40_g,SuperYou Strawberry Protein Wafer Bar 40 g,Superyou,snacks,breakfast,40.0,g,50.0,jiomart,550.0,65.0,20.0,15.0,10.0,3.5,2.0,200.0,1.0,,,,,,
39,jiomart_fruvanta_fruvanta_mangomixgreen_chilligorkerikerdamethikerihot_lemon_and_sweet_lemon_200gm_x_8pack_o,"Fruvanta Mango,mix,green chilli,gor-keri,kerda,methi-keri,hot lemon and Sweet lemon (200gm x 8)(Pack of 8)",Fruvanta,flavourings,pickles-chutney,200.0,g,499.0,jiomart,,6.2,5.8,0.3,1.4,0.9,,150.0,2.0,,,,,,
40,jiomart_kwality_kwality_ice_cream_mix_100g_box_pistapack_of_5,Kwality Ice Cream Mix 100g Box Pista[Pack of 5],Kwality,ready_to_eat,ready-to-eat,100.0,g,249.0,jiomart,,,,,,,,35.0,0.3,,,,,,
41,jiomart_cothas_cothas_classic_cold_filter_coffee_250_ml,Cothas Classic Cold Filter Coffee 250 ml,Cothas,beverage,tea-cofee,250.0,ml,54.0,jiomart,,2.5,1.8,0.3,9.5,7.5,,20.0,0.2,,,,,,
42,jiomart_gustora_gustora_flavourful_rich_smooth_tomato_ketchup_sauce_1kg_i_no_added_preservatives_i_nongmo_i_,"GUSTORA Flavourful, Rich & Smooth Tomato Ketchup Sauce, 1kg I No Added preservatives I Non-GMO I Quality Tomato Ketchup",Gustora,spread,sauce-ketchup-butter,1.0,kg,139.0,jiomart,64.0,17.2,8.5,0.3,1.7,1.2,0.4,150.0,0.5,,,,,,
43,jiomart_pansari_pansari_kacchi_ghani_mustard_oil_sarso_cooking_oil_2l_jar_butterfly_handle,Pansari Kacchi Ghani Mustard Oil | Sarso Cooking Oil - 2L Jar Butterfly Handle,Pansari,essentials,oil,2.0,L,415.0,jiomart,,,,,0.9,0.8,,,,,,,,,
44,jiomart_good_life_good_life_chilli_guntur_with_stem_100_g,Good Life Chilli Guntur with Stem 100 g,Good Life,essentials,masala,100.0,g,35.0,jiomart,375.0,20.0,2.0,3.0,25.0,15.0,1.0,250.0,2.0,,,,,,
45,jiomart_sams_sams_700_veg_green_chilli_sauce_thick_spreads_and_dips_for_snacks_sauce_2_x_700_g,sams 700 Veg Green Chilli Sauce thick Spreads and Dips for Snacks Sauce (2 x 700 g),Sams,spread,sauce-ketchup-butter,,g,180.0,jiomart,,10.2,6.5,0.8,7.3,4.1,0.2,150.0,0.6,,,,,,
46,jiomart_piyor_piyor_pumpkin_seeds_1000gms_jar_pack_healthy_heart_restful_sleep_boosted_energy,"PIYOR Pumpkin Seeds 1000gms Jar Pack | Healthy heart, Restful sleep, Boosted energy",Piyor,essentials,dry-fruits-nuts,1000.0,g,486.0,jiomart,575.0,13.5,1.8,14.4,46.2,3.6,3.5,0.5,0.4,,,,,,
