batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,product_id
1,jiomart_apka_kisan_apka_kisan_sehori_atta_flour_15_kg_sehori_lokwan_chakki_fresh_atta_stone_grinded_no_prese,"APKA KISAN | SEHORI ATTA | FLOUR | 15 KG | SEHORI LOKWAN CHAKKI FRESH ATTA | STONE GRINDED | NO PRESERVATIVES | FARMERS OF SEHORE, MADHYA PRADESH",Apka Kisan,essentials,flour,15.0,kg,1259.0,jiomart,365.0,70.5,2.1,10.3,4.8,0.9,2.5,0.1,0.3,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 3,jiomart_apka_kisan_apka_kisan_sehori_atta_flour_15_kg_sehori_lokwan_chakki_fresh_atta_stone_grinded_no_prese
2,jiomart_bulbul_bulbul_kachi_ghani_mustard_oil_1_litre_100_cold_pressed_pure_natural_healthy_mustard_oil_for_,"BULBUL Kachi Ghani Mustard Oil 1 Litre, 100% Cold Pressed, Pure, Natural & Healthy Mustard Oil for Cooking, Frying & Dressing",Bulbul,essentials,oil,1.0,L,245.0,jiomart,,,,,89.0,10.5,,,,,,,,,,jiomart_bulbul_bulbul_kachi_ghani_mustard_oil_1_litre_100_cold_pressed_pure_natural_healthy_mustard_oil_for_
3,jiomart_malkist_malkist_cheese_and_cappuccino_flavoured_cracker_biscuits_family_pack_144g_pack_of_4,Malkist Cheese and Cappuccino Flavoured Cracker Biscuits (family pack) - 144g (Pack of 4),Malkist,snacks,biscuit,144.0,g,240.0,jiomart,550.0,60.0,10.0,5.0,30.0,15.0,0.0,350.0,2.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 3,jiomart_malkist_malkist_cheese_and_cappuccino_flavoured_cracker_biscuits_family_pack_144g_pack_of_4
4,jiomart_lila_dry_fruits_lila_dry_fruits_premium_nutritious_delicious_cashew_golden_raisins_combo_jar_pack_of,LILA DRY FRUITS Premium Nutritious & Delicious Cashew & Golden Raisins Combo Jar Pack of 50gms each (100gms total) | Dried Kishmish & Kaju | Fibre Calcium & Iron Rich | Low in calories and Fat Free,Lila Dry Fruits,essentials,dry-fruits-nuts,50.0,g,269.0,jiomart,,66.0,63.0,12.0,11.0,1.5,7.0,,,"Cashew, Golden Raisins, Dried Kishmish",30g,3.0,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 3,jiomart_lila_dry_fruits_lila_dry_fruits_premium_nutritious_delicious_cashew_golden_raisins_combo_jar_pack_of
5,jiomart_goshudh_goshudh_sugar_3_kg_1kg_x_3_pack,Goshudh Sugar 3 kg (1Kg X 3 Pack),Goshudh,essentials,salt-sugar,3.0,kg,288.0,jiomart,,,,,0.2,0.1,0.0,5.0,10.0,,,,,,,jiomart_goshudh_goshudh_sugar_3_kg_1kg_x_3_pack
6,jiomart_mr_makhana_mr_makhana_himalayan_salt_pepper_popped_lotus_seeds_20_g,Mr Makhana Himalayan Salt & Pepper Popped Lotus Seeds 20 g,Mr Makhana,snacks,chips-namkeen,20.0,g,37.0,jiomart,,23.4,2.9,3.8,10.1,1.6,0.7,2.5,0.3,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 3,jiomart_mr_makhana_mr_makhana_himalayan_salt_pepper_popped_lotus_seeds_20_g
7,jiomart_nikunj_nikunj_premium_green_tea_jar_250g,"Nikunj Premium Green Tea Jar, 250g",Nikunj,beverage,tea-cofee,250.0,g,159.0,jiomart,0.0,2.5,1.8,0.3,0.4,0.1,0.2,,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 3,jiomart_nikunj_nikunj_premium_green_tea_jar_250g
8,jiomart_anveshan_anveshan_mustard_oil_1l,Anveshan Mustard Oil 1L,Anveshan,essentials,oil,1.0,L,489.0,jiomart,,,,,0.8,0.7,,,0.2,,,,,,,jiomart_anveshan_anveshan_mustard_oil_1l
9,jiomart_kwality_kwality_gulab_jamun_mix_175g_pouch_pack_of_2,Kwality Gulab Jamun Mix 175g Pouch (Pack of 2),Kwality,ready_to_eat,ready-to-eat,175.0,g,145.0,jiomart,550.0,24.5,13.2,4.3,26.1,15.8,0.5,350.0,2.9,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 3,jiomart_kwality_kwality_gulab_jamun_mix_175g_pouch_pack_of_2
10,jiomart_daawat_daawat_pulav_basmati_rice_1_kg,Daawat Pulav Basmati Rice 1 kg,Daawat,essentials,rice,1.0,kg,135.0,jiomart,,2.3,0.1,1.8,0.4,0.1,0.3,,0.2,"Basmati Rice, Mustard Oil, Ghee, Indian Spices",30g,7.0,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM using Indian food standards - Batch 3,jiomart_daawat_daawat_pulav_basmati_rice_1_kg
