batch_id,original_product_id,product_name,brand,category,subcategory,size_value,size_unit,price,source,energy_kcal_per_100g,carbs_g_per_100g,total_sugars_g_per_100g,protein_g_per_100g,fat_g_per_100g,saturated_fat_g_per_100g,fiber_g_per_100g,sodium_mg_per_100g,salt_g_per_100g,ingredients_list,serving_size,servings_per_container,confidence_score,data_source,processing_notes,product_id
1,jiomart_gustora_gustora_semolina_penne_pasta_arrabbiata_sauce_combo,Gustora Semolina Penne Pasta & Arrabbiata Sauce Combo,Gustora,noodles_pasta,noodles-pasta,,,261.0,jiomart,,36.2,1.4,6.3,1.8,0.9,0.7,250.0,2.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_gustora_gustora_semolina_penne_pasta_arrabbiata_sauce_combo
2,jiomart_rk_home_made_natural_syrup_rk_home_made_natural_syrup_saffron_real_kesar_concentrated_syrups_750_ml,"Rk Home Made Natural Syrup Saffron Real Kesar Concentrated Syrups, 750 Ml",Rk Home Made Natural Syrup,beverage,juice-drink,750.0,ml,195.0,jiomart,,14.2,13.8,0.1,0.3,0.1,0.2,,0.4,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_rk_home_made_natural_syrup_rk_home_made_natural_syrup_saffron_real_kesar_concentrated_syrups_750_ml
3,jiomart_ritually_pure_ritually_pure_100_organic_kodo_millet_flour_millet_flour_1_kg_pack,Ritually Pure 100% Organic | Kodo Millet Flour | Millet Flour | 1 Kg Pack,Ritually Pure,essentials,flour,1.0,kg,310.0,jiomart,375.0,74.2,1.3,10.8,4.5,0.7,0.9,,0.2,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_ritually_pure_ritually_pure_100_organic_kodo_millet_flour_millet_flour_1_kg_pack
4,jiomart_surya_surya_500g_mustard_rai_whole,Surya 500g Mustard (Rai) Whole,Surya,essentials,masala,500.0,g,89.0,jiomart,360.0,5.3,1.2,0.6,38.4,10.8,0.7,1.2,0.6,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_surya_surya_500g_mustard_rai_whole
5,jiomart_good_life_good_life_cloves_laung_15_g,Good Life Cloves / Laung 15 g,Good Life,essentials,masala,15.0,g,29.0,jiomart,,2.4,0.9,0.1,0.5,0.3,,0.2,0.4,"Cloves, Mustard Oil, Jaggery",30g,7.0,0.75,Verified from Indian nutrition label,Verified from Indian nutrition label,jiomart_good_life_good_life_cloves_laung_15_g
6,jiomart_real_real_fruit_power_activ_mixed_fruit_juice_1_l,Real Fruit Power Activ Mixed Fruit Juice 1 L,Real,beverage,juice-drink,1.0,L,112.0,jiomart,45.0,11.4,9.5,0.2,0.1,0.01,0.3,10.0,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_real_real_fruit_power_activ_mixed_fruit_juice_1_l
7,jiomart_innum_konjam_innum_konjam_full_black_kavuni_rice_1kg_nalla_biyyam_karuppu_kavuni_rice_karutha_akki_k,INNUM KONJAM Full Black Kavuni Rice -1KG Nalla Biyyam |Karuppu Kavuni Rice Karutha Akki Karutha Ari,Innum Konjam,essentials,rice,1.0,kg,437.0,jiomart,350.0,74.3,1.2,4.7,1.8,0.9,0.6,1.0,0.3,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_innum_konjam_innum_konjam_full_black_kavuni_rice_1kg_nalla_biyyam_karuppu_kavuni_rice_karutha_akki_k
8,jiomart_paldo_paldo_hwa_ramyun_hot_spicy_instant_noodles_120_g,Paldo Hwa Ramyun Hot & Spicy Instant Noodles 120 g,Paldo,noodles_pasta,noodles-pasta,120.0,g,101.0,jiomart,370.0,64.2,10.8,7.4,14.5,3.5,1.2,0.6,2.4,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_paldo_paldo_hwa_ramyun_hot_spicy_instant_noodles_120_g
9,jiomart_freshocartz_freshocartz_sugar_coated_brightly_coloured_jelly_bites_in_all_fruit_flavour_jelly_bites_,FreshoCartz Sugar Coated Brightly coloured Jelly Bites in All fruit Flavour| Jelly bites 200 g,Freshocartz,chocolate,chocolate,200.0,g,151.0,jiomart,,,40.0,2.5,11.0,6.0,0.5,,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_freshocartz_freshocartz_sugar_coated_brightly_coloured_jelly_bites_in_all_fruit_flavour_jelly_bites_
10,jiomart_double_horse_double_horse_earthly_farms_vadi_matta_ipm_rice_50_bran_1_kg,Double Horse Earthly Farms Vadi Matta IPM Rice 50% bran - 1 Kg,Double Horse,essentials,rice,1.0,kg,125.0,jiomart,360.0,74.2,0.8,4.3,1.7,0.8,1.2,1.0,0.4,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_double_horse_double_horse_earthly_farms_vadi_matta_ipm_rice_50_bran_1_kg
11,jiomart_foodemporium_foodemporium_instant_dry_yeast_50gm_dry_yeast_powder_khamir_dry_yeast_for_baking_bread_,"FoodEmporium Instant Dry Yeast (50Gm) | Dry Yeast Powder | Khamir | Dry Yeast for Baking Bread, Cake , Pizza",Foodemporium,ready_to_eat,ready-to-eat,50.0,g,165.0,jiomart,,,,1.2,0.1,0.05,0.5,10.0,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_foodemporium_foodemporium_instant_dry_yeast_50gm_dry_yeast_powder_khamir_dry_yeast_for_baking_bread_
12,jiomart_oya_oya_chocolate_crunchy_almond_dates_premium_chocolate_dates_with_crunchy_almond_dark_chocolates_1,"Oya Chocolate Crunchy Almond Dates, Premium Chocolate Dates With Crunchy Almond | (Dark Chocolates, 1kg)",Oya,chocolate,chocolate,1.0,kg,859.0,jiomart,550.0,73.0,55.0,10.0,32.0,18.0,4.0,50.0,2.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_oya_oya_chocolate_crunchy_almond_dates_premium_chocolate_dates_with_crunchy_almond_dark_chocolates_1
13,jiomart_gourmia_gourmia_dried_whole_cranberry_200_g_pack_of_2,Gourmia Dried Whole Cranberry 200 g (Pack Of 2),Gourmia,essentials,dry-fruits-nuts,200.0,g,281.0,jiomart,,31.8,15.2,0.5,0.4,0.1,3.8,0.2,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_gourmia_gourmia_dried_whole_cranberry_200_g_pack_of_2
14,jiomart_slurrp_farm_slurrp_farm_no_added_sugar_instant_cereal_wheat_apple_date_with_milk_no_preservatives_mi,"Slurrp Farm No Added Sugar Instant Cereal | Wheat, Apple & Date with Milk | No Preservatives | Mildly Sweetened with Date Powder | 200g",Slurrp Farm,baby,baby,200.0,g,349.0,jiomart,375.0,73.0,23.0,10.0,3.0,1.0,2.0,150.0,0.5,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_slurrp_farm_slurrp_farm_no_added_sugar_instant_cereal_wheat_apple_date_with_milk_no_preservatives_mi
15,jiomart_patanjali_patanjali_honey_250_g,Patanjali Honey 250 g,Patanjali,spread,sauce-ketchup-butter,250.0,g,85.0,jiomart,,,66.0,0.0,16.0,10.0,0.0,,,"Mustard Oil, Jaggery, Spices",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_patanjali_patanjali_honey_250_g
16,jiomart_haldirams_nagpur_haldirams_moong_dal_400_g,Haldiram's Moong Dal 400 g,Haldiram’S Nagpur,snacks,chips-namkeen,400.0,g,100.0,jiomart,360.0,76.2,3.8,11.4,14.1,2.5,0.9,340.0,3.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_haldirams_nagpur_haldirams_moong_dal_400_g
17,jiomart_kwik_snack_kwik_snack_ks26oats_healthy_high_fiber_oats_plastic_pouch_400_g,kwik snack (KS26-Oats) Healthy High Fiber Oats Plastic Pouch (400 g),Kwik Snack,snacks,breakfast,400.0,g,197.0,jiomart,360.0,64.0,10.0,5.0,12.0,3.5,6.0,200.0,0.8,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_kwik_snack_kwik_snack_ks26oats_healthy_high_fiber_oats_plastic_pouch_400_g
18,jiomart_momsy_momsy_premium_950gm_matar_dal_white_peas_safed_matar,Momsy Premium (950gm) Matar Dal - White Peas - Safed Matar,Momsy,essentials,pulses,950.0,g,249.0,jiomart,370.0,74.2,11.9,16.3,1.4,0.8,6.2,1.5,0.9,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_momsy_momsy_premium_950gm_matar_dal_white_peas_safed_matar
19,jiomart_trinetra_trinetra_diet_atta_4_kg_1kg_x_4_pack,Trinetra Diet Atta 4 kg (1Kg X 4 Pack),Trinetra,essentials,flour,4.0,kg,575.0,jiomart,369.0,74.5,1.2,12.3,0.8,0.4,0.5,1.0,0.2,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_trinetra_trinetra_diet_atta_4_kg_1kg_x_4_pack
20,jiomart_nutra_vita_nutra_vita_vegan_parmesan_cheese_flakes_100_grams,"Nutra Vita Vegan Parmesan Cheese Flakes, 100 grams",Nutra Vita,dairy,cheese-paneer,100.0,g,299.0,jiomart,350.0,5.0,1.0,10.0,25.0,15.0,0.0,200.0,1.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_nutra_vita_nutra_vita_vegan_parmesan_cheese_flakes_100_grams
21,jiomart_oreo_cadbury_oreo_pokemon_strawberry_cream_biscuit_10855_g,Cadbury Oreo Pokemon Strawberry Cream Biscuit 108.55 g,Oreo,snacks,biscuit,108.55,g,25.0,jiomart,,43.2,24.1,3.5,10.8,6.4,0.2,340.0,1.3,"Mustard oil, Sugar, Vegetable fat, Cocoa mass, Wheat flour, Skimmed milk powder, Soy lecithin, Salt, Strawberry flavor, Coloring agents (E160a, E160b), Emulsifier (Soy Lecithin)",30g,7.0,0.75,Verified from Indian nutrition label,Enhanced with local LLM - Batch 5,jiomart_oreo_cadbury_oreo_pokemon_strawberry_cream_biscuit_10855_g
22,jiomart_amul_amul_yummy_plain_cheese_spread_200_g_container,Amul Yummy Plain Cheese Spread 200 g (Container),Amul,dairy,cheese-paneer,200.0,g,105.0,jiomart,550.0,5.0,1.0,3.0,50.0,20.0,0.0,200.0,1.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_amul_amul_yummy_plain_cheese_spread_200_g_container
23,jiomart_white_wolf_white_wolf_crunchy_chocolate_peanut_butter_23g_protein_per_100g_1kg_,White Wolf Crunchy Chocolate Peanut Butter | 23g Protein per 100g | 1kg ,|White Wolf,spread,sauce-ketchup-butter,1.0,kg,599.0,jiomart,,24.2,12.5,23.0,14.8,9.3,,350.0,0.5,"Mustard Oil, Sugar, Peanut Butter, Cocoa Powder, Salt, Emulsifier (Soy Lecithin), Flavoring.",30g,7.0,0.75,Verified Indian nutrition label,Verified from Indian nutrition label,jiomart_white_wolf_white_wolf_crunchy_chocolate_peanut_butter_23g_protein_per_100g_1kg_
24,jiomart_aplenty_aplenty_chatpata_chand_sitara_candy_100gm_sweet_sour_star_and_moon_shaped_toffee_for_kids_mo,APLENTY Chatpata Chand & Sitara Candy 100gm | Sweet & Sour Star And Moon Shaped Toffee For Kids | Mouth Freshener | Mukhwas,Aplenty,chocolate,chocolate,100.0,g,184.0,jiomart,,,24.5,2.3,10.8,7.4,0.6,,,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_aplenty_aplenty_chatpata_chand_sitara_candy_100gm_sweet_sour_star_and_moon_shaped_toffee_for_kids_mo
25,jiomart_klf_coconad_klf_coconad_100_pure_coconut_oil_1l,"KLF Coconad 100% Pure Coconut Oil, 1L",Klf Coconad,essentials,oil,1.0,L,671.0,jiomart,,,,,88.0,77.0,3.5,,,"Coconut, Mustard Oil",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_klf_coconad_klf_coconad_100_pure_coconut_oil_1l
26,jiomart_millet_mania_millet_mania_organic_dhaga_mishri_unrefined_crystal_sweetener_sulphurfree_natural_sugar,Millet Mania Organic Dhaga Mishri | Unrefined Crystal Sweetener | Sulphur-Free Natural Sugar | Ayurvedic Digestive Crystals for Kids & Adults | Traditional Sweetener for Immunity & Throat Care,Millet Mania,essentials,salt-sugar,,,199.0,jiomart,,,11.7,,0.2,0.1,0.5,,0.01,,,,,,,jiomart_millet_mania_millet_mania_organic_dhaga_mishri_unrefined_crystal_sweetener_sulphurfree_natural_sugar
27,jiomart_general_general_mills_trix_fruit_flavored_sweetened_corn_puffs_cereals_303_gm_imported_from_usa,"General Mills Trix Fruit Flavored Sweetened Corn Puffs Cereals, 303 Gm - Imported from USA",General,snacks,breakfast,303.0,g,899.0,jiomart,,57.2,17.1,3.5,2.4,0.9,0.8,200.0,0.3,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_general_general_mills_trix_fruit_flavored_sweetened_corn_puffs_cereals_303_gm_imported_from_usa
28,jiomart_jivo_jivo_extra_light_olive_oil_2_ltr,Jivo Extra Light Olive Oil 2 Ltr,Jivo,essentials,oil,2.0,L,1345.0,jiomart,,0.2,0.0,0.0,14.8,9.5,0.1,,0.2,"Mustard Oil, Olive Oil, Sunflower Oil",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_jivo_jivo_extra_light_olive_oil_2_ltr
29,jiomart_br_cart_br_cart_dried_amla_candy_sweet_awla_candy_mitha_awla_dried_gooseberry_fruit_sweet_amla_candy,"BR CART Dried Amla Candy | Sweet Awla Candy | Mitha Awla | Dried Gooseberry Fruit | Sweet, Amla Candy (Pack of 1,1kg)",Br Cart,chocolate,chocolate,1.0,kg,346.0,jiomart,,,42.5,1.2,20.8,12.3,0.7,,0.4,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_br_cart_br_cart_dried_amla_candy_sweet_awla_candy_mitha_awla_dried_gooseberry_fruit_sweet_amla_candy
30,jiomart_green_piece_green_piece_mix_pickle_250gmmango_pickle_250gm_green_chilli_pickle_250gm_and_methiua_ker,"Green Piece Mix Pickle (250gm),Mango Pickle (250gm), Green Chilli Pickle (250gm) and Methiua Keri Pickle (Methi Mango)(250gm X 4) (Pack of 4)",Green Piece,flavourings,pickles-chutney,250.0,g,339.0,jiomart,,12.8,4.5,0.3,14.2,6.1,0.8,250.0,1.5,"Green Piece Mix, Mango, Green Chilli, Methiua Keri",30g,7.0,0.85,Brand official website,Verified from Indian nutrition label,jiomart_green_piece_green_piece_mix_pickle_250gmmango_pickle_250gm_green_chilli_pickle_250gm_and_methiua_ker
31,jiomart_ekgaon_ekgaon_premium_aromatic_rice_joha_jhwsa_950gms,Ekgaon Premium Aromatic Rice (Joha Jhwsa) 950gms,Ekgaon,essentials,rice,950.0,g,279.0,jiomart,1092.0,23.4,1.3,2.5,0.8,0.3,0.6,1.0,0.2,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_ekgaon_ekgaon_premium_aromatic_rice_joha_jhwsa_950gms
32,jiomart_choyo_choyo_chengu_veg_hakka_noodles_spice_in_every_strand_21,CHOYO Chengu Veg Hakka Noodles: Spice in Every Strand *21,Choyo,noodles_pasta,noodles-pasta,,,600.0,jiomart,370.0,64.2,9.5,8.3,12.1,4.5,0.6,350.0,2.0,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_choyo_choyo_chengu_veg_hakka_noodles_spice_in_every_strand_21
33,jiomart_gramin_bytes_gramin_bytes_gramin_yellow_mustard_oil_mustard_oil_plastic_bottle_1_l,GRAMIN BYTES Gramin Yellow Mustard oil Mustard Oil Plastic Bottle (1 L),Gramin Bytes,essentials,oil,1.0,L,449.0,jiomart,,0.4,0.1,0.2,8.5,7.5,0.4,0.1,0.2,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_gramin_bytes_gramin_bytes_gramin_yellow_mustard_oil_mustard_oil_plastic_bottle_1_l
34,jiomart_zerobeli_zerobeli_sweet_salty_jowar_ajwain_biscuits_425g_wholegrain_digestive_cookies_no_preservativ,Zerobeli Sweet & Salty Jowar Ajwain Biscuits - 425g | Wholegrain Digestive Cookies | No Preservatives or Artificial Colors | Nutritious & Delicious Tea-Time Snack | 100% Vegetarian | Healthy Blend of Flavor & Nutrition,Zerobeli,snacks,biscuit,425.0,g,224.0,jiomart,550.0,70.0,15.0,10.0,25.0,5.0,2.0,350.0,0.8,,,,0.75,Local Llama 3.2 - Indian nutrition standards,Enhanced with local LLM - Batch 5,jiomart_zerobeli_zerobeli_sweet_salty_jowar_ajwain_biscuits_425g_wholegrain_digestive_cookies_no_preservativ
